,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
0,0,Another smart aleck \x93People should limit themselves to visiting a maximum of 2 households per day as much as possible.\x94 Got say can only receive a maximum of 2 households per day?,21/2/21,0.13809523809523808,0.6142857142857143,0.0,0.909,0.091,0.4019,joy
6,6,"Additional measures currently in place include a cap of eight unique visitors per household each day, as well as stepped up enforcement checks on business operators.",20/2/21,0.1875,0.7,0.0,0.92,0.08,0.2732,neutral
11,11,Police only know how to catch indiviual holding a smiley face card on the street?,12/1/21,0.0,1.0,0.0,0.828,0.172,0.4019,fear
17,17,Only this one is the best outcome.,16/2/21,0.5,0.65,0.0,0.588,0.412,0.6369,sadness
31,31,Lol,23/1/21,0.8,0.7,0.0,0.0,1.0,0.4215,fear
34,34,Management talk .... Talk easy but let the ground do the work,23/1/21,0.43333333333333335,0.8333333333333334,0.0,0.849,0.151,0.2382,anger
38,38,No need SD ambassadors Yea good idea,23/1/21,0.7,0.6000000000000001,0.218,0.495,0.287,0.1779,neutral
56,66,They will be equipped with many Kums and new clothes and they will be like ur normal peeps.,23/1/21,0.26212121212121214,0.5348484848484848,0.0,0.872,0.128,0.3612,joy
64,76,"Si many loopholes, it's just u want or don't want nia.",23/1/21,0.5,0.5,0.0,0.755,0.245,0.1531,anger
91,117,coldish wrote: They will just catch some kumgongs flouting the rules and tell the whole world they doing a good job Waiting for people to self-pwn on Instagram,23/1/21,0.44999999999999996,0.5,0.0,0.9,0.1,0.4404,anger
128,154,"That will be more efficient way to enforce the ""max 8 visitors"" and ""2 household"" rules.",23/1/21,0.5,0.5,0.0,0.819,0.181,0.4754,joy
131,157,"If they were caught not bringing nor installed the app, give reasonable fine.",23/1/21,0.30833333333333335,0.55,0.0,0.87,0.13,0.2023,fear
139,165,So he just open a little gap and claim compassion.,23/1/21,-0.09375,0.5,0.0,0.727,0.273,0.4588,neutral
140,166,"Also if totally disallow no visiting and if there is increase in community cases, cannot blame the people again.",23/1/21,0.0,0.75,0.109,0.701,0.19,0.2162,anger
142,174,Exactly Advised not to more than 2 households Say like no say Rules liked no rules,23/1/21,0.45,0.5166666666666667,0.213,0.531,0.256,0.2263,neutral
145,181,All the Boomers scared here and there one.. anybody free can go LW house on CNY spot check his visitors is it 8...,23/1/21,0.4,0.8,0.107,0.772,0.121,0.1027,fear
148,185,govt spend $200 per residential unit and install people counter + ERP charge for moving in and out of house - can easily push total reserves up to 2T instead of teh current paltry amount of 1.2T,23/1/21,0.14444444444444446,0.6611111111111111,0.0,0.934,0.066,0.34,anger
178,228,Stay condo better don\x92t yaya papaya ...,24/1/21,0.5,0.5,0.0,0.674,0.326,0.4404,neutral
