,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
21,30,There is also much potential for firms in the green economy.,2/6/21,-0.1,0.65,0.0,1.0,0.0,0.0,joy
23,32,"ESG chairman Peter Ong agreed, and said: ""In the midst of current volatilities, enterprises will need to be highly agile to pivot as the situation affords.",2/6/21,0.25,0.575,0.0,0.923,0.077,0.2732,joy
31,40,"""While travel restrictions remain, overseas expansion will always remain a key growth driver.""",2/6/21,0.0,1.0,0.0,0.809,0.191,0.3818,joy
73,96,"Do respect her for asking these tough qns the problem is, is the tax going to be a progressive tax or a regressive tax?",26/2/21,-0.3888888888888889,0.8333333333333334,0.16,0.722,0.118,-0.0258,joy
90,113,Like that being very difficult... sigh This grant is very strict with alot of criteria.,21/1/21,-0.225,0.65,0.0,0.653,0.347,0.6573,joy
132,163,"Not only that, must bring your whole farking family living tgt with u all to come sign form at their office.",2/3/21,0.1,0.7,0.0,1.0,0.0,0.0,joy
136,167,after 50+ years and it dawns on us that our education system is a giant flop look at all the education ministers.,20/2/21,0.0,1.0,0.107,0.893,0.0,-0.34,joy
138,169,all of them waiting to get promoted to higher pay and that's it.,20/2/21,0.25,0.5,0.092,0.724,0.184,0.34,joy
197,246,"""Singaporeans' sense of unity and discipline in observing the precautionary measures such as safe distancing and mask wearing has enabled our progress so far in combating the pandemic.",16/2/21,0.19999999999999998,0.6666666666666666,0.0,0.82,0.18,0.6908,joy
198,247,The discipline and understanding of our local merchants and hawkers have also been important.,16/2/21,0.2,0.5,0.0,0.878,0.122,0.2023,joy
208,257,"""This Household Support Package provides some support to all families, with lower- to middle-income families receiving more,"" he said.",16/2/21,0.5,0.5,0.093,0.678,0.229,0.4939,joy
231,302,"""We need a good handle on these issues, as we are effectively spending from our reserves based on these assumptions,"" she said.",12/1/20,0.6499999999999999,0.7000000000000001,0.0,0.766,0.234,0.7003,joy
232,303,"""These are tough questions that we need to grapple with.",12/1/20,-0.3888888888888889,0.8333333333333334,0.143,0.857,0.0,-0.128,joy
234,305,"""I am glad that the Government has also been thinking hard about these same issues.""",12/1/20,0.06944444444444443,0.5555555555555555,0.08,0.747,0.172,0.3818,joy
271,342,"\x93They have all been working non-stop since the beginning of this year, with the work becoming even heavier and more intense as the global Covid-19 pandemic situation worsened and disrupted life and businesses.",12/4/20,0.2875,0.5875,0.082,0.873,0.045,-0.3197,joy
276,347,"I look forward to everyone\x92s active participation, as part of our #SingaporeTogether movement.\x94 Those who wish to provide input for Budget 2021 may do so here.",12/4/20,-0.13333333333333333,0.6,0.0,0.81,0.19,0.6597,joy
277,348,"Realistically speaking, the final budget depends a lot on how USA moves, which will very well move the world.",12/5/20,0.1,0.65,0.0,0.877,0.123,0.3384,joy
282,353,"AZE wrote: Realistically speaking, the final budget depends a lot on how USA moves, which will very well move the world.",12/5/20,0.1,0.65,0.0,0.888,0.112,0.3384,joy
286,361,"The full Budget Statement will be published on the Singapore Budget website after delivery, and real-time updates of key Budget announcements can be found on MOF's Facebook page and Twitter account.",31/12/20,0.175,0.775,0.0,1.0,0.0,0.0,joy
287,362,"""We thank Singaporeans for providing their views, whether online through REACH\x92s Budget 2021 microsite, or in person at settings such as REACH\x92s Listening Points,"" said MOF.",31/12/20,0.0,0.5,0.0,0.909,0.091,0.3612,joy
300,375,"""But if the situation takes a turn for the worse, we are ready to respond and adapt,"" he said.",31/12/20,-0.1,0.55,0.144,0.741,0.116,-0.1531,joy
309,384,"However, less government assistance could actually be a good thing, noted Singapore Retailers Association executive director Rose Tong.",15/1/21,0.37777777777777777,0.5388888888888889,0.0,0.847,0.153,0.4404,joy
310,385,"She said grants could distract companies from their business objectives as they tailor their goals to meet qualifying criteria: ""This could stifle their authentic growth.",15/1/21,0.5,0.75,0.077,0.767,0.157,0.3182,joy
314,389,"""She said grants could distract companies from their business objectives as they tailor their goals to meet qualifying criteria: ""This could stifle their authentic growth.",15/1/21,0.5,0.75,0.077,0.767,0.157,0.3182,joy
321,397,"In the proposal, KPMG stressed the importance of 5G in Singapore's transformation into a smart nation.",25/1/21,0.21428571428571427,0.6428571428571429,0.122,0.612,0.265,0.4215,joy
328,404,Special tax rebates for local professionals in qualifying industries critical to Singapore's economy and ecosystem will also help in the transformation to a smart city.,25/1/21,0.14285714285714285,0.5035714285714286,0.076,0.658,0.266,0.7003,joy
373,453,"Deputy Prime Minister and Minister for Finance Heng Swee Keat had said on Friday that a key priority for the Budget will be to continue to support workers and businesses, but that Singapore must press on with economic transformation.",2/7/21,0.1,0.6,0.0,0.952,0.048,0.2144,joy
379,459,"Ms Indranee also spoke about ComLink as a key strategic part of the Government's efforts to tackle inequality, adding that the initiative brings together government agencies and community partners to provide more comprehensive support to low-income families.",2/7/21,0.25,0.75,0.0,0.866,0.134,0.6453,joy
387,467,\x93I don\x92t speak much English so I can\x92t teach my own children.,2/7/21,0.3,0.5,0.0,1.0,0.0,0.0,joy
389,469,"They are also more confident now and have more friends,\x94 she said, speaking in Bahasa Indonesia.",2/7/21,0.5,0.6111111111111112,0.0,0.811,0.189,0.5413,joy
403,486,"In January, Mr Heng quipped at the The Straits Times Global Outlook Forum that he wished that for this year, there will be only one Budget.",15/2/21,0.0,0.5,0.0,1.0,0.0,0.0,joy
404,487,"And so, while the rest of us were likely celebrating (albeit more low-key this year) Chinese New Year, and enjoying romantic dinners with our significant others, the Minister wrote in a Facebook post that he enjoyed no such luxury.",15/2/21,0.22348484848484848,0.569949494949495,0.045,0.652,0.303,0.9136,joy
